electricity_cost,billing_periods,heated_square_footage,engineered_total_square_footage,heating_degree_days,cooling_degree_days,NUMFRIG,NUMFREEZ,NUMLAPTOP,NUMTABLET,NUMSMPHONE,NUMCFAN,NUMFLOORFAN,NUMWWAC,NUMPORTAC,NUMMEAL,state_postal,BA_climate,IECC_climate_code,KOWNRENT,home_size,num_appliances,temp_hdd,temp_cdd,temp_degree_days,bill_amount,bill_per_period,month_periods,log_bill_amount
1183.31,1,1300,1300,3432,1640,1,0,3,2,4,3,0,0.0,0.0,1,MD,Mixed-Humid,4A,1,1300,14.0,3432,1640,5072,1183.31,1183.31,1,7.076070875297084
777.26,1,940,1560,6052,837,1,0,1,2,4,0,0,0.0,0.0,0,NY,Cold,5A,2,940,8.0,6052,837,6889,777.26,777.26,1,6.65577491472937
1389.12,5,1100,1100,3561,1501,1,1,0,0,1,0,0,0.0,0.0,4,MD,Mixed-Humid,4A,2,1100,7.0,3561,1501,5062,1389.12,277.82399999999996,5,7.236425732111229
784.69,1,2800,2800,1326,4097,1,0,2,1,1,0,2,0.0,0.0,3,AZ,Hot-Dry,2B,1,2800,10.0,1326,4097,5423,784.69,784.69,1,6.6652887353285095
2390.43,1,3750,3750,6153,748,1,0,2,2,2,5,0,0.0,0.0,3,MI,Cold,5A,1,3750,15.0,6153,748,6901,2390.43,2390.43,1,7.7792285450605485
638.56,1,3230,3230,4265,1134,1,1,1,0,2,4,0,0.0,0.0,3,VA,Mixed-Humid,4A,1,3230,12.0,4265,1134,5399,638.56,638.56,1,6.459215641300424
869.82,1,1400,1400,3776,1526,1,0,3,2,2,3,0,0.0,0.0,2,MD,Mixed-Humid,4A,1,1400,13.0,3776,1526,5302,869.82,869.82,1,6.768286293690861
1502.78,1,900,900,6277,712,1,1,0,2,2,1,1,0.0,2.0,3,MI,Cold,5A,1,900,13.0,6277,712,6989,1502.78,1502.78,1,7.315072005120438
1049.02,1,5510,5510,5757,828,2,0,1,1,2,2,3,0.0,0.0,2,CO,Cold,5B,1,5510,13.0,5757,828,6585,1049.02,1049.02,1,6.955611673991478
1102.84,1,1000,2000,4014,675,1,0,3,1,3,0,3,0.0,0.0,2,NC,Mixed-Humid,4A,1,1000,13.0,4014,675,4689,1102.84,1102.84,1,7.0056439498012475
1276.88,1,700,700,4201,1336,1,0,1,2,2,0,0,2.0,0.0,2,NY,Mixed-Humid,4A,2,700,10.0,4201,1336,5537,1276.88,1276.88,1,7.152174881374303
2071.37,1,1730,1730,5256,1151,3,1,1,1,2,0,0,0.0,0.0,2,IL,Cold,5A,1,1730,10.0,5256,1151,6407,2071.37,2071.37,1,7.635965503091514
939.24,1,750,750,3903,1216,1,0,2,4,4,0,0,0.0,0.0,5,KY,Mixed-Humid,4A,2,750,16.0,3903,1216,5119,939.24,939.24,1,6.845071037604747
811.04,1,2050,2050,5573,876,3,0,0,0,0,3,1,1.0,0.0,4,CO,Cold,5B,1,2050,12.0,5573,876,6449,811.04,811.04,1,6.698317374724039
2881.34,1,770,1020,4183,1357,1,0,1,1,2,0,0,0.0,0.0,1,NY,Mixed-Humid,4A,2,770,6.0,4183,1357,5540,2881.34,2881.34,1,7.966010742699628
558.46,1,980,980,8759,409,1,0,0,0,0,0,0,0.0,0.0,5,ND,Very-Cold,7A,2,980,6.0,8759,409,9168,558.46,558.46,1,6.325182995532574
1542.53,1,2070,2070,2177,1891,1,0,2,0,2,1,0,0.0,0.0,3,CA,Hot-Dry,3B,1,2070,9.0,2177,1891,4068,1542.53,1542.53,1,7.34117920453693
3226.06,1,2200,2200,2417,1831,2,0,2,0,5,3,0,0.0,0.0,3,GA,Mixed-Humid,3A,1,2200,15.0,2417,1831,4248,3226.06,3226.06,1,8.079016857396264
1362.66,1,600,600,4575,1005,1,0,0,0,2,1,1,2.0,0.0,3,WV,Cold,5A,2,600,10.0,4575,1005,5580,1362.66,1362.66,1,7.217193950835557
4077.66,1,2100,2100,1133,3452,1,1,5,2,5,5,0,0.0,0.0,2,TX,Hot-Humid,2A,1,2100,21.0,1133,3452,4585,4077.66,4077.66,1,8.313278573455538
1640.77,1,1800,1800,5365,755,2,0,1,0,2,3,0,0.0,0.0,3,RI,Cold,5A,1,1800,11.0,5365,755,6120,1640.77,1640.77,1,7.402920922827003
